31,	Jan,	2019
Sunrise:	05:44;
Noon:	12:22;
Sunset:	18:59

Name,	Time_start,	Dir_start,	Alt_start,	Mag_start,	Time_highest,    Dir_highest,	Alt_highest,	Mag_highest,	Time_end,	Dir_end,	Alt_end,	Mag_end
SL-16 R/B,	07:35:52,	NW,	17°,	4.1,	07:40:22,	WSW,	56°,	3.1,	07:45:44,	S,	10°,	5.9
SWIFT, 07:37:46, WNW,	10°,	4.5,	07:41:40,	N,	29°,	4.4,	07:45:14,	NE,	10°,	7.5
ATLAS CENTAUR  R/B,	07:39:02,	WSW,	16°,	4.9,	07:43:02,	N,	61°,	4.6,	07:47:23,	NE,	10°,	8.3
COSMOS 2428,	07:39:40, SSW,	11°,	5.3,	07:45:10,	WNW,	55°,	3.6,	07:50:37,	N,	10°,	5.7
CZ-2C R/B,	07:45:01,	N,	13°,	5.0,	07:49:01,	W,	80°,	3.2,	07:53:28, SSW,	10°,	5.0
SL-16 R/B,	07:45:31, SSW,	11°,	4.8,	07:51:01,	WNW,	58°,	3.1,	07:56:30,	N,	10°,	5.3
SL-3 R/B,	08:02:23,	NNW,	12°,	5.4,	08:05:53,	WSW,	63°,	3.7,	08:09:40,	S,	10°,	6.3
SL-16 R/B,	08:08:30, SSW,	10°,	5.0,	08:14:25,	NE,	81°,	4.4,	08:19:47,	NNE,	10°,	5.8
COSMOS 1408,	08:09:33,	NW,	11°,	5.1,	08:12:41,	W,	27°,	4.0,	08:15:50, SSW,	10°,	5.7
SL-16 R/B,	08:13:46, SW,	15°,	4.3,	08:17:54,	WNW,	33°,	3.4,	08:22:52,	NNW,	10°,	5.0
DELTA 2 R/B(1),	08:21:03,	WSW,	10°,	4.9,	08:24:42,	NNW,	44°,	3.9,	08:28:08,	NE,	10°,	7.3
SL-16  R/B,	08:30:30,	WNW,	10°,	4.3,	08:34:30,	WSW,	18°,	4.1,	08:37:58, SSW,	10°,	5.0
H-2A  R/B,	09:08:37,	N,	17°,	5.1,	09:12:52,	W,	58°,	3.6,	09:18:01, SSW,	10°,	4.9
SL-16  R/B,	09:09:42, SSW,	10°,	4.9,	09:15:36,	NW,	72°,	4.3,	09:21:01,	N,	10°,	5.8
HST, 09:10:58,	NW,	10°,	3.5,	09:14:53,	NNE,	33°,	4.5,	09:18:32,	E,	10°,	6.7
SL-16  R/B,	09:38:08,	NW,	10°,	4.3,	09:40:42,	W,	14°,	3.9,	09:42:51,	WSW,	10°,	4.2
SL-16  R/B,	09:55:05,	NW,	10°,	4.9,	10:00:26,	WSW,	39°,	3.9,	10:05:28,	S,	10°,	5.3
HST, 10:51:37,	WNW,	10°,	3.8,	10:56:03,	ESE,	79°,	7.1,	11:00:01,	ESE,	10°,	5.1
ISS, 10:58:35, SSW,	10°,	-0.6,	11:01:49, SE,	47°,	0.1,	11:05:00,	ENE,	10°,	0.7
H-2A  R/B,	11:08:46,	S,	14°,	4.7,	11:12:16,	W,	49°,	4.1,	11:16:05,	NNW,	10°,	5.2
HST, 12:32:59,	W,	10°,	4.4,	12:37:24, SSE,	61°,	4.2,	12:41:18,	E,	10°,	4.2
HST, 14:15:32,	W,	19°,	5.3,	14:18:32,	NNE,	83°,	4.8,	14:22:40,	ENE,	10°,	3.6
SL-3 R/B,	14:20:48,	NE,	10°,	5.5,	14:23:42,	ESE,	35°,	4.0,	14:26:33,	S,	10°,	5.5
MIDORI II, 14:20:54, SSE,	10°,	4.9,	14:25:58,	ENE,	40°,	4.0,	14:30:47,	N,	10°,	5.4
CZ-4B R/B,	14:25:18,	NNE,	10°,	5.0,	14:28:51,	ESE,	74°,	4.2,	14:32:16,	S,	10°,	5.0
TITAN 4BR/B,	15:21:44,	S,	10°,	4.8,	15:25:36,	ESE,	33°,	2.9,	15:29:16,	NE,	10°,	4.0
DELTA 1R/B(1),	15:47:51,	W,	20°,	9.3,	15:50:51,	NE,	61°,	4.1,	15:54:04,	ENE,	10°,	5.1
ATLAS CENTAUR 2,	15:51:14,	NW,	29°,	7.2,	15:54:14,	NNE,	69°,	4.2,	16:01:04,	ESE,	10°,	4.7
HST, 15:56:44,	WNW,	15°,	7.2,	15:59:44,	NNW,	28°,	3.9,	16:03:04,	NE,	10°,	3.5
SL-3 R/B,	16:02:13, SE,	13°,	5.3,	16:05:13,	ENE,	32°,	4.0,	16:08:36,	NNE,	10°,	5.8
COSMOS 1626,	16:08:01,	S,	10°,	5.8,	16:11:48,	ENE,	87°,	4.1,	16:15:31,	N,	10°,	5.4
COSMOS 1726,	16:09:25,	NNE,	10°,	5.0,	16:12:48,	E,	29°,	3.5,	16:15:55, SSE,	10°,	5.0
SL-16 R/B,	16:38:18, SSE,	10°,	5.0,	16:42:31,	ESE,	18°,	3.9,	16:45:44,	ENE,	10°,	4.2
SL-16 R/B,	16:41:07,	NE,	12°,	4.4,	16:44:37,	E,	18°,	3.8,	16:48:13,	ESE,	10°,	4.4
SL-16 R/B,	16:59:10,	S,	10°,	4.8,	17:03:52,	NW,	74°,	3.6,	17:07:53,	NNW,	10°,	5.1
COSMO-SKYMED 1, 17:04:04,	NE,	10°,	4.9,	17:08:07,	ESE,	36°,	3.6,	17:12:04,	S,	10°,	5.9
SL-3 R/B,	17:05:33, SSE,	10°,	5.9,	17:09:09,	E,	28°,	4.1,	17:12:39,	NE,	10°,	5.3
SL-3 R/B,	17:07:03, SSE,	11°,	5.6,	17:10:18,	E,	31°,	3.6,	17:13:27,	NE,	10°,	5.1
COSMOS 2058, 17:07:54, SSE,	16°,	5.5,	17:10:54,	E,	36°,	3.9,	17:14:39,	NNE,	10°,	5.4
OKEAN-O, 17:17:01, SE,	10°,	5.1,	17:20:35,	E,	23°,	4.0,	17:24:01,	NNE,	10°,	5.1
SL-16 R/B,	17:30:28,	S,	10°,	5.9,	17:36:05,	ESE,	56°,	2.9,	17:41:35,	NNE,	10°,	4.4
ATLAS CENTAUR 2,	17:40:48,	WSW,	35°,	9.0,	17:43:48,	S,	67°,	4.2,	17:51:33,	ESE,	10°,	4.7
ALOS, 17:51:02 , SSE, 13°,	4.9,	17:55:09,	ENE,	53°,	2.8,	17:59:39,	N,	10°,	5.0
COSMOS 1455, 17:53:18,	NNE,	10°,	4.8,	17:57:01,	E,	34°,	3.1,	18:00:25, SSE,	10°,	5.2
CZ-4B R/B,	18:00:52,	ESE,	10°,	3.7,	18:03:15,	E,	15°,	3.1,	18:05:33,	NE,	10°,	3.5
SL-16 R/B,	18:21:25,	NE,	10°,	4.1,	18:24:47,	E,	15°,	3.7,	18:27:42,	ESE,	10°,	4.2
COSMOS 1892,	18:22:01,	S,	12°,	6.3,	18:25:31,	E,	65°,	3.1,	18:29:16,	NNE,	10°,	5.3
SL-16 R/B,	18:24:11,	N,	13°,	4.6,	18:29:11,	ENE,	51°,	2.6,	18:34:35, SSE,	10°,	4.9
ARIANE 40+R/B,	18:35:10, SE,	10°,	5.4,	18:39:21,	E,	25°,	4.0,	18:43:25,	NNE,	10°,	5.1
